date,sentiment,price

2020-10-07,0.10
,28.059999

2020-10-08,0.63
,26.360001

2020-10-09,0.47
,25.000000

2020-10-12,-0.76
,25.070000

2020-10-13,-0.06
,26.070000

2020-10-14,-0.06
,26.400000

2020-10-15,-0.16
,26.969999

2020-10-16,-0.14
,27.410000

2020-10-19,-0.14
,29.180000

2020-10-20,-0.03
,29.350000

2020-10-21,-0.07
,28.650000

2020-10-22,-0.56
,28.110001

2020-10-23,0.40
,27.549999

2020-10-26,-0.66
,32.459999

